text,font,font_size,is_bold,is_italic,is_underline,is_all_caps,is_centered,contains_number,contains_fullstop,word_count,x0,y0,x1,y1,space_above,space_below,space_left,space_right,page_number,norm_font_size,norm_space_above,norm_space_below,norm_space_left,norm_space_right
Overview,"Arial,Bold",24,True,False,False,False,True,False,False,1,252.65,189.62,365.95,216.38,189.62,28.46,252.65,246.05,1,1.0,0.3938,0.148,0.43,0.4532
Foundation Level Extensions,"Arial,Bold",24,True,False,False,False,True,False,False,3,139.35,244.84,479.36,271.6,28.46,110.83,139.35,132.64,1,1.0,0.148,0.2736,0.1619,0.1647
Version 1.0,Arial,12,False,False,False,False,True,True,True,2,275.69,382.43,339.82,395.81,110.83,69.89,275.69,272.18,1,0.3333,0.2736,0.2112,0.4845,0.5196
International Software Testing Qualifications Board,Arial,18,False,False,False,False,True,False,False,5,103.34,465.7,513.42,485.77,69.89,38.03,103.34,98.58,1,0.6667,0.2112,0.1626,0.0767,0.078
"Copyright Notice  This document may be copied in its entirety, or extracts made, if the source is acknowledged.",Arial,10,False,False,False,False,False,False,True,18,70.94,652.29,484.99,674.92,21.14,117.08,70.94,127.01,1,0.2222,0.1369,0.2832,0.0,0.1503
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester  Qualifications,Arial,10,False,False,False,False,False,False,False,11,74.42,38.63,515.69,72.77,-36.52,-11.11,74.42,96.31,2,0.2222,0.049,0.0877,0.0083,0.0722
Board,Arial,10,False,False,False,False,False,False,False,1,493.55,61.67,522.84,72.77,-11.11,47.59,493.55,89.16,2,0.2222,0.0877,0.1772,1.0,0.0541
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,Arial,10,False,False,False,False,False,False,True,10,70.94,120.37,483.25,131.47,47.59,587.21,70.94,128.75,2,0.2222,0.1772,1.0,0.0,0.1548
"Version 2014  Page 2 of 12  May 31, 2014",Trebuchet MS,10,False,False,False,False,True,True,False,9,76.58,718.68,533.13,730.08,587.21,6.81,76.58,78.87,2,0.2222,1.0,0.115,0.0134,0.0279
© International Software Testing Qualifications Board,Arial,6,False,False,True,False,False,False,False,6,76.58,736.89,219.29,743.58,6.81,48.42,76.58,392.71,2,0.0,0.115,0.1785,0.0134,0.8263
International  Overview  Software Testing  Foundation Level Extension –   Agile Tester,Arial,10,False,False,False,False,False,False,False,10,74.42,38.63,515.69,70.24,-36.52,-8.57,74.42,96.31,3,0.2222,0.049,0.0916,0.0083,0.0722
Qualifications Board,Arial,10,False,False,False,False,False,False,False,2,430.75,61.67,522.84,72.77,-8.57,36.16,430.75,89.16,3,0.2222,0.0916,0.1598,0.8514,0.0541
